,Estimator,rep,n,p,ratio,Bias
0,Graph-Agnostic,0,500,0.05,1.3333333333333333,0.30142068131877287
1,Graph-Aware,0,500,0.05,1.3333333333333333,0.3038787508529346
2,Graph-Agnostic-VR,0,500,0.05,1.3333333333333333,0.08451723444020022
3,OLS-Prop,0,500,0.05,1.3333333333333333,-0.11447223439659615
4,OLS-Num,0,500,0.05,1.3333333333333333,0.14734814942091948
5,Diff-Means-Stnd,0,500,0.05,1.3333333333333333,-0.5118385188675257
6,Diff-Means-Frac,0,500,0.05,1.3333333333333333,-0.6835754015657826
7,Graph-Agnostic,1,500,0.05,1.3333333333333333,-0.18801639757428962
8,Graph-Aware,1,500,0.05,1.3333333333333333,-0.14018172821797265
9,Graph-Agnostic-VR,1,500,0.05,1.3333333333333333,-0.07729136087316223
10,OLS-Prop,1,500,0.05,1.3333333333333333,-0.291514371576018
11,OLS-Num,1,500,0.05,1.3333333333333333,-0.08750049778415885
12,Diff-Means-Stnd,1,500,0.05,1.3333333333333333,-0.6143068792246976
13,Diff-Means-Frac,1,500,0.05,1.3333333333333333,-0.7321746780601566
14,Graph-Agnostic,2,500,0.05,1.3333333333333333,0.0775325068856648
15,Graph-Aware,2,500,0.05,1.3333333333333333,0.10586356136863358
16,Graph-Agnostic-VR,2,500,0.05,1.3333333333333333,-0.0022847158393487998
17,OLS-Prop,2,500,0.05,1.3333333333333333,-0.2238962090200026
18,OLS-Num,2,500,0.05,1.3333333333333333,-0.01661012457610546
19,Diff-Means-Stnd,2,500,0.05,1.3333333333333333,-0.5427605688334628
20,Diff-Means-Frac,2,500,0.05,1.3333333333333333,-0.7118482198373988
21,Graph-Agnostic,3,500,0.05,1.3333333333333333,-0.1280304211215888
22,Graph-Aware,3,500,0.05,1.3333333333333333,-0.14706355670189772
23,Graph-Agnostic-VR,3,500,0.05,1.3333333333333333,-0.009125478540051706
24,OLS-Prop,3,500,0.05,1.3333333333333333,-0.3619906523818133
25,OLS-Num,3,500,0.05,1.3333333333333333,0.08150066276118287
26,Diff-Means-Stnd,3,500,0.05,1.3333333333333333,-0.6558753404496451
27,Diff-Means-Frac,3,500,0.05,1.3333333333333333,-0.7134940347526453
28,Graph-Agnostic,4,500,0.05,1.3333333333333333,0.18110156286532147
29,Graph-Aware,4,500,0.05,1.3333333333333333,0.13687828333991978
30,Graph-Agnostic-VR,4,500,0.05,1.3333333333333333,0.05455496685170863
31,OLS-Prop,4,500,0.05,1.3333333333333333,-0.1735969770189438
32,OLS-Num,4,500,0.05,1.3333333333333333,0.026198054886331403
33,Diff-Means-Stnd,4,500,0.05,1.3333333333333333,-0.5015574209413625
34,Diff-Means-Frac,4,500,0.05,1.3333333333333333,-0.6612705090009674
35,Graph-Agnostic,5,500,0.05,1.3333333333333333,0.27260653887750547
36,Graph-Aware,5,500,0.05,1.3333333333333333,0.30827543130068946
37,Graph-Agnostic-VR,5,500,0.05,1.3333333333333333,0.06050544907230259
38,OLS-Prop,5,500,0.05,1.3333333333333333,-0.22690085968733945
39,OLS-Num,5,500,0.05,1.3333333333333333,0.137780661636995
40,Diff-Means-Stnd,5,500,0.05,1.3333333333333333,-0.5720515258273879
41,Diff-Means-Frac,5,500,0.05,1.3333333333333333,-0.7255673007459543
42,Graph-Agnostic,6,500,0.05,1.3333333333333333,0.1203067120641465
43,Graph-Aware,6,500,0.05,1.3333333333333333,0.13513371162397475
44,Graph-Agnostic-VR,6,500,0.05,1.3333333333333333,0.0002738500645502879
45,OLS-Prop,6,500,0.05,1.3333333333333333,-0.28684064086192534
46,OLS-Num,6,500,0.05,1.3333333333333333,-0.02221133862219427
47,Diff-Means-Stnd,6,500,0.05,1.3333333333333333,-0.596901218322543
48,Diff-Means-Frac,6,500,0.05,1.3333333333333333,-0.6916170190788865
49,Graph-Agnostic,7,500,0.05,1.3333333333333333,-0.07052048525912474
50,Graph-Aware,7,500,0.05,1.3333333333333333,-0.07202016362800678
51,Graph-Agnostic-VR,7,500,0.05,1.3333333333333333,-0.07052048525236315
52,OLS-Prop,7,500,0.05,1.3333333333333333,-0.32731609873010004
53,OLS-Num,7,500,0.05,1.3333333333333333,-0.07259023490891353
54,Diff-Means-Stnd,7,500,0.05,1.3333333333333333,-0.6043249652252249
55,Diff-Means-Frac,7,500,0.05,1.3333333333333333,-0.7479834477026889
56,Graph-Agnostic,8,500,0.05,1.3333333333333333,-0.1920623414581155
57,Graph-Aware,8,500,0.05,1.3333333333333333,-0.1627073882894427
58,Graph-Agnostic-VR,8,500,0.05,1.3333333333333333,-0.038169454109807224
59,OLS-Prop,8,500,0.05,1.3333333333333333,-0.2186353083381668
60,OLS-Num,8,500,0.05,1.3333333333333333,-0.02820566384160228
61,Diff-Means-Stnd,8,500,0.05,1.3333333333333333,-0.5491185165738581
62,Diff-Means-Frac,8,500,0.05,1.3333333333333333,-0.7306341915823776
63,Graph-Agnostic,9,500,0.05,1.3333333333333333,-0.4325068125017163
64,Graph-Aware,9,500,0.05,1.3333333333333333,-0.403745684937936
65,Graph-Agnostic-VR,9,500,0.05,1.3333333333333333,-0.05417802082931334
66,OLS-Prop,9,500,0.05,1.3333333333333333,-0.2615384401414044
67,OLS-Num,9,500,0.05,1.3333333333333333,-0.08124074156986627
68,Diff-Means-Stnd,9,500,0.05,1.3333333333333333,-0.5691324058999864
69,Diff-Means-Frac,9,500,0.05,1.3333333333333333,-0.720719485527175
70,Graph-Agnostic,10,500,0.05,1.3333333333333333,0.31259386272414935
71,Graph-Aware,10,500,0.05,1.3333333333333333,0.32805591417301444
72,Graph-Agnostic-VR,10,500,0.05,1.3333333333333333,-0.0056107100502289205
73,OLS-Prop,10,500,0.05,1.3333333333333333,-0.24903654179835882
74,OLS-Num,10,500,0.05,1.3333333333333333,0.010796105063806823
