,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
0,0.2,0.01,96,1,96-0,0,Bernoulli,Graph-Aware,0.05968995165973461
1,0.2,0.01,96,1,96-0,0,Bernoulli,Diff-Means-Stnd,0.001920270403526398
2,0.2,0.01,96,1,96-0,0,Bernoulli,Diff-Means-Frac-0.75,0.7766758903913901
3,0.2,0.01,96,1,96-0,0,Bernoulli,LeastSqs-Prop,0.00833368480610647
4,0.2,0.01,96,1,96-0,0,Bernoulli,LeastSqs-Num,0.02061052526606888
5,0.2,0.01,96,1,96-0,1,Bernoulli,Graph-Aware,-0.16381272205866582
6,0.2,0.01,96,1,96-0,1,Bernoulli,Diff-Means-Stnd,-0.008240612784086304
7,0.2,0.01,96,1,96-0,1,Bernoulli,Diff-Means-Frac-0.75,0.043356207954268484
8,0.2,0.01,96,1,96-0,1,Bernoulli,LeastSqs-Prop,-0.054778099147401345
9,0.2,0.01,96,1,96-0,1,Bernoulli,LeastSqs-Num,-0.021525960110516818
10,0.2,0.01,96,1,96-0,2,Bernoulli,Graph-Aware,0.06745438206192352
11,0.2,0.01,96,1,96-0,2,Bernoulli,Diff-Means-Stnd,0.020814376885049692
12,0.2,0.01,96,1,96-0,2,Bernoulli,Diff-Means-Frac-0.75,-0.3305714411425433
13,0.2,0.01,96,1,96-0,2,Bernoulli,LeastSqs-Prop,0.0033859117129373217
14,0.2,0.01,96,1,96-0,2,Bernoulli,LeastSqs-Num,0.02945572018902667
15,0.2,0.01,96,1,96-0,3,Bernoulli,Graph-Aware,0.19605431558730224
16,0.2,0.01,96,1,96-0,3,Bernoulli,Diff-Means-Stnd,-0.011894071040257966
17,0.2,0.01,96,1,96-0,3,Bernoulli,Diff-Means-Frac-0.75,-1.100839584511134
18,0.2,0.01,96,1,96-0,3,Bernoulli,LeastSqs-Prop,-0.02499210716696547
19,0.2,0.01,96,1,96-0,3,Bernoulli,LeastSqs-Num,-0.012438595200908653
20,0.2,0.01,96,1,96-0,4,Bernoulli,Graph-Aware,0.20561625272304423
21,0.2,0.01,96,1,96-0,4,Bernoulli,Diff-Means-Stnd,0.008239107357263667
22,0.2,0.01,96,1,96-0,4,Bernoulli,Diff-Means-Frac-0.75,-0.11662068141639172
23,0.2,0.01,96,1,96-0,4,Bernoulli,LeastSqs-Prop,0.006497552168224727
24,0.2,0.01,96,1,96-0,4,Bernoulli,LeastSqs-Num,-0.0102230452634304
25,0.2,0.01,96,1,96-0,5,Bernoulli,Graph-Aware,-0.10103423915142346
26,0.2,0.01,96,1,96-0,5,Bernoulli,Diff-Means-Stnd,-0.003986411680222517
27,0.2,0.01,96,1,96-0,5,Bernoulli,Diff-Means-Frac-0.75,0.27473154349913337
28,0.2,0.01,96,1,96-0,5,Bernoulli,LeastSqs-Prop,0.0041203462499040345
29,0.2,0.01,96,1,96-0,5,Bernoulli,LeastSqs-Num,0.004558420742788195
30,0.2,0.01,96,1,96-0,6,Bernoulli,Graph-Aware,-0.018263324692038972
31,0.2,0.01,96,1,96-0,6,Bernoulli,Diff-Means-Stnd,-0.005407049087372633
32,0.2,0.01,96,1,96-0,6,Bernoulli,Diff-Means-Frac-0.75,-0.37711053707213193
33,0.2,0.01,96,1,96-0,6,Bernoulli,LeastSqs-Prop,-0.025252910644037473
34,0.2,0.01,96,1,96-0,6,Bernoulli,LeastSqs-Num,-0.019411217923780272
35,0.2,0.01,96,1,96-0,7,Bernoulli,Graph-Aware,-0.0361213823695311
36,0.2,0.01,96,1,96-0,7,Bernoulli,Diff-Means-Stnd,-0.0012702036070965917
37,0.2,0.01,96,1,96-0,7,Bernoulli,Diff-Means-Frac-0.75,0.660300190411639
38,0.2,0.01,96,1,96-0,7,Bernoulli,LeastSqs-Prop,0.02747874950448471
39,0.2,0.01,96,1,96-0,7,Bernoulli,LeastSqs-Num,0.00962747502791329
40,0.2,0.01,96,1,96-0,8,Bernoulli,Graph-Aware,0.09992194698435936
41,0.2,0.01,96,1,96-0,8,Bernoulli,Diff-Means-Stnd,-0.0001451492067597931
42,0.2,0.01,96,1,96-0,8,Bernoulli,Diff-Means-Frac-0.75,-1.1019093522088332
43,0.2,0.01,96,1,96-0,8,Bernoulli,LeastSqs-Prop,-0.0024574631961678363
44,0.2,0.01,96,1,96-0,8,Bernoulli,LeastSqs-Num,-0.004618223162370039
45,0.2,0.01,96,1,96-0,9,Bernoulli,Graph-Aware,0.2973031203951786
46,0.2,0.01,96,1,96-0,9,Bernoulli,Diff-Means-Stnd,-0.02457933391790341
47,0.2,0.01,96,1,96-0,9,Bernoulli,Diff-Means-Frac-0.75,0.005589966564546613
48,0.2,0.01,96,1,96-0,9,Bernoulli,LeastSqs-Prop,-0.0038232384689842296
49,0.2,0.01,96,1,96-0,9,Bernoulli,LeastSqs-Num,-0.003514107540228292
50,0.2,0.01,96,1,96-0,10,Bernoulli,Graph-Aware,-0.049331481387986334
51,0.2,0.01,96,1,96-0,10,Bernoulli,Diff-Means-Stnd,-0.003439823921334112
52,0.2,0.01,96,1,96-0,10,Bernoulli,Diff-Means-Frac-0.75,0.7989563171950097
53,0.2,0.01,96,1,96-0,10,Bernoulli,LeastSqs-Prop,0.004493856718465791
54,0.2,0.01,96,1,96-0,10,Bernoulli,LeastSqs-Num,0.01436666978519969
55,0.2,0.01,96,1,96-0,11,Bernoulli,Graph-Aware,-0.11077701181602471
56,0.2,0.01,96,1,96-0,11,Bernoulli,Diff-Means-Stnd,0.0013629050869939665
57,0.2,0.01,96,1,96-0,11,Bernoulli,Diff-Means-Frac-0.75,-1.1015668596110073
58,0.2,0.01,96,1,96-0,11,Bernoulli,LeastSqs-Prop,0.017042223843239144
59,0.2,0.01,96,1,96-0,11,Bernoulli,LeastSqs-Num,0.01752610018052494
60,0.2,0.01,96,1,96-0,12,Bernoulli,Graph-Aware,0.12397913235060308
61,0.2,0.01,96,1,96-0,12,Bernoulli,Diff-Means-Stnd,-0.009131414610937812
