,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
0,0.2,2,256,2,16-0,0,Bernoulli,Graph-Aware,4.1418933119191195
1,0.2,2,256,2,16-0,0,Bernoulli,Diff-Means-Stnd,-0.7199206005432409
2,0.2,2,256,2,16-0,0,Bernoulli,Diff-Means-Frac-0.75,-1.1456995175388054
3,0.2,2,256,2,16-0,0,Bernoulli,LeastSqs-Prop,-0.42606068804409186
4,0.2,2,256,2,16-0,0,Bernoulli,LeastSqs-Num,0.7298412009746839
5,0.2,2,256,2,16-0,1,Bernoulli,Graph-Aware,-0.541878054635696
6,0.2,2,256,2,16-0,1,Bernoulli,Diff-Means-Stnd,-0.7583179404030219
7,0.2,2,256,2,16-0,1,Bernoulli,Diff-Means-Frac-0.75,-1.1582158728441363
8,0.2,2,256,2,16-0,1,Bernoulli,LeastSqs-Prop,-1.6642086451911908
9,0.2,2,256,2,16-0,1,Bernoulli,LeastSqs-Num,1.0603612912824063
10,0.2,2,256,2,16-0,2,Bernoulli,Graph-Aware,-2.2626420219293455
11,0.2,2,256,2,16-0,2,Bernoulli,Diff-Means-Stnd,-0.7463228529708068
12,0.2,2,256,2,16-0,2,Bernoulli,Diff-Means-Frac-0.75,-1.1334212893007107
13,0.2,2,256,2,16-0,2,Bernoulli,LeastSqs-Prop,-1.190823027543764
14,0.2,2,256,2,16-0,2,Bernoulli,LeastSqs-Num,1.1269755959799679
15,0.2,2,256,2,16-0,3,Bernoulli,Graph-Aware,4.547696498002344
16,0.2,2,256,2,16-0,3,Bernoulli,Diff-Means-Stnd,-0.6549947688502746
17,0.2,2,256,2,16-0,3,Bernoulli,Diff-Means-Frac-0.75,-1.115994138262498
18,0.2,2,256,2,16-0,3,Bernoulli,LeastSqs-Prop,-0.8388199791124146
19,0.2,2,256,2,16-0,3,Bernoulli,LeastSqs-Num,0.645184246984544
20,0.2,2,256,2,16-0,4,Bernoulli,Graph-Aware,-1.736473265513185
21,0.2,2,256,2,16-0,4,Bernoulli,Diff-Means-Stnd,-0.6446985548741767
22,0.2,2,256,2,16-0,4,Bernoulli,Diff-Means-Frac-0.75,-1.1251257015355969
23,0.2,2,256,2,16-0,4,Bernoulli,LeastSqs-Prop,-0.8891462676717209
24,0.2,2,256,2,16-0,4,Bernoulli,LeastSqs-Num,2.038971667490689
25,0.2,2,256,2,16-0,5,Bernoulli,Graph-Aware,-0.8710065571640225
26,0.2,2,256,2,16-0,5,Bernoulli,Diff-Means-Stnd,-0.6970054334073019
27,0.2,2,256,2,16-0,5,Bernoulli,Diff-Means-Frac-0.75,-1.146530870747301
28,0.2,2,256,2,16-0,5,Bernoulli,LeastSqs-Prop,-1.34378524100516
29,0.2,2,256,2,16-0,5,Bernoulli,LeastSqs-Num,1.7235238165989035
30,0.2,2,256,2,16-0,6,Bernoulli,Graph-Aware,-2.0481195888768107
31,0.2,2,256,2,16-0,6,Bernoulli,Diff-Means-Stnd,-0.6999709242154212
32,0.2,2,256,2,16-0,6,Bernoulli,Diff-Means-Frac-0.75,-1.1456512100441836
33,0.2,2,256,2,16-0,6,Bernoulli,LeastSqs-Prop,-0.8181631017239414
34,0.2,2,256,2,16-0,6,Bernoulli,LeastSqs-Num,1.270449128045271
35,0.2,2,256,2,16-0,7,Bernoulli,Graph-Aware,-1.9575178509320468
36,0.2,2,256,2,16-0,7,Bernoulli,Diff-Means-Stnd,-0.7179634219839781
37,0.2,2,256,2,16-0,7,Bernoulli,Diff-Means-Frac-0.75,-1.1281628841971343
38,0.2,2,256,2,16-0,7,Bernoulli,LeastSqs-Prop,-0.8748782870331586
39,0.2,2,256,2,16-0,7,Bernoulli,LeastSqs-Num,1.4334139681006057
