,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
0,0.03,2,9216,2,96-0,0,Bernoulli,Graph-Aware,-0.8552245727272942
1,0.03,2,9216,2,96-0,0,Bernoulli,Diff-Means-Stnd,-0.6901955699543488
2,0.03,2,9216,2,96-0,0,Bernoulli,Diff-Means-Frac-0.75,-1.0493663364161483
3,0.03,2,9216,2,96-0,0,Bernoulli,LeastSqs-Prop,-1.7830886053307107
4,0.03,2,9216,2,96-0,0,Bernoulli,LeastSqs-Num,1.6311309251895842
5,0.03,2,9216,2,96-0,1,Bernoulli,Graph-Aware,-1.0661063072484767
6,0.03,2,9216,2,96-0,1,Bernoulli,Diff-Means-Stnd,-0.6738542419035468
7,0.03,2,9216,2,96-0,1,Bernoulli,Diff-Means-Frac-0.75,-1.048827509168769
8,0.03,2,9216,2,96-0,1,Bernoulli,LeastSqs-Prop,-2.3062131021485066
9,0.03,2,9216,2,96-0,1,Bernoulli,LeastSqs-Num,1.4286451812139471
10,0.03,2,9216,2,96-0,2,Bernoulli,Graph-Aware,-0.4557992425619068
11,0.03,2,9216,2,96-0,2,Bernoulli,Diff-Means-Stnd,-0.6855250107778181
12,0.03,2,9216,2,96-0,2,Bernoulli,Diff-Means-Frac-0.75,-1.0501840348250497
13,0.03,2,9216,2,96-0,2,Bernoulli,LeastSqs-Prop,-1.5139161547584936
14,0.03,2,9216,2,96-0,2,Bernoulli,LeastSqs-Num,2.0504841438759915
15,0.03,2,9216,2,96-0,3,Bernoulli,Graph-Aware,-2.6933657865748577
16,0.03,2,9216,2,96-0,3,Bernoulli,Diff-Means-Stnd,-0.6762857287762126
17,0.03,2,9216,2,96-0,3,Bernoulli,Diff-Means-Frac-0.75,-1.0504143652919224
18,0.03,2,9216,2,96-0,3,Bernoulli,LeastSqs-Prop,-1.7576896013564005
19,0.03,2,9216,2,96-0,3,Bernoulli,LeastSqs-Num,2.1085959402303494
20,0.03,2,9216,2,96-0,4,Bernoulli,Graph-Aware,1.9445379825920424
21,0.03,2,9216,2,96-0,4,Bernoulli,Diff-Means-Stnd,-0.6483160981990158
22,0.03,2,9216,2,96-0,4,Bernoulli,Diff-Means-Frac-0.75,-1.0503798879370678
23,0.03,2,9216,2,96-0,4,Bernoulli,LeastSqs-Prop,-1.8903580836119342
24,0.03,2,9216,2,96-0,4,Bernoulli,LeastSqs-Num,2.345237007166347
25,0.03,2,9216,2,96-0,5,Bernoulli,Graph-Aware,-1.8824370822404315
26,0.03,2,9216,2,96-0,5,Bernoulli,Diff-Means-Stnd,-0.6711130283979266
27,0.03,2,9216,2,96-0,5,Bernoulli,Diff-Means-Frac-0.75,-1.0484616014193748
28,0.03,2,9216,2,96-0,5,Bernoulli,LeastSqs-Prop,-2.832019379217773
29,0.03,2,9216,2,96-0,5,Bernoulli,LeastSqs-Num,2.7566819938479643
30,0.03,2,9216,2,96-0,6,Bernoulli,Graph-Aware,0.0033275163414046858
31,0.03,2,9216,2,96-0,6,Bernoulli,Diff-Means-Stnd,-0.6853980252423149
32,0.03,2,9216,2,96-0,6,Bernoulli,Diff-Means-Frac-0.75,-1.0504504909591772
33,0.03,2,9216,2,96-0,6,Bernoulli,LeastSqs-Prop,-1.7784530915420311
34,0.03,2,9216,2,96-0,6,Bernoulli,LeastSqs-Num,1.7279887031577976
35,0.03,2,9216,2,96-0,7,Bernoulli,Graph-Aware,-1.9043874529532039
36,0.03,2,9216,2,96-0,7,Bernoulli,Diff-Means-Stnd,-0.6789891584704948
37,0.03,2,9216,2,96-0,7,Bernoulli,Diff-Means-Frac-0.75,-1.0489971728773009
38,0.03,2,9216,2,96-0,7,Bernoulli,LeastSqs-Prop,-2.176689494108983
39,0.03,2,9216,2,96-0,7,Bernoulli,LeastSqs-Num,1.1785033577623978
40,0.03,2,9216,2,96-0,8,Bernoulli,Graph-Aware,2.0732681909135637
41,0.03,2,9216,2,96-0,8,Bernoulli,Diff-Means-Stnd,-0.6792937737069371
42,0.03,2,9216,2,96-0,8,Bernoulli,Diff-Means-Frac-0.75,-1.0505604878098167
43,0.03,2,9216,2,96-0,8,Bernoulli,LeastSqs-Prop,-1.8697925941660454
44,0.03,2,9216,2,96-0,8,Bernoulli,LeastSqs-Num,2.0801457572917363
45,0.03,2,9216,2,96-0,9,Bernoulli,Graph-Aware,0.826758419039308
46,0.03,2,9216,2,96-0,9,Bernoulli,Diff-Means-Stnd,-0.6738607114087413
47,0.03,2,9216,2,96-0,9,Bernoulli,Diff-Means-Frac-0.75,-1.050029324613385
48,0.03,2,9216,2,96-0,9,Bernoulli,LeastSqs-Prop,-1.9461931933428722
49,0.03,2,9216,2,96-0,9,Bernoulli,LeastSqs-Num,1.8623643607685965
50,0.03,2,9216,2,96-0,10,Bernoulli,Graph-Aware,2.411234694192574
51,0.03,2,9216,2,96-0,10,Bernoulli,Diff-Means-Stnd,-0.6869268913341438
52,0.03,2,9216,2,96-0,10,Bernoulli,Diff-Means-Frac-0.75,-1.0499658392641495
53,0.03,2,9216,2,96-0,10,Bernoulli,LeastSqs-Prop,-1.85714630643656
54,0.03,2,9216,2,96-0,10,Bernoulli,LeastSqs-Num,1.163760965835073
55,0.03,2,9216,2,96-0,11,Bernoulli,Graph-Aware,0.10300860627194561
56,0.03,2,9216,2,96-0,11,Bernoulli,Diff-Means-Stnd,-0.6539663066456598
57,0.03,2,9216,2,96-0,11,Bernoulli,Diff-Means-Frac-0.75,-1.0507913196722356
58,0.03,2,9216,2,96-0,11,Bernoulli,LeastSqs-Prop,-2.3849074968742148
59,0.03,2,9216,2,96-0,11,Bernoulli,LeastSqs-Num,2.2351601781854504
60,0.03,2,9216,2,96-0,12,Bernoulli,Graph-Aware,-0.8336175710338639
61,0.03,2,9216,2,96-0,12,Bernoulli,Diff-Means-Stnd,-0.6677986884465891
62,0.03,2,9216,2,96-0,12,Bernoulli,Diff-Means-Frac-0.75,-1.0516288640674334
63,0.03,2,9216,2,96-0,12,Bernoulli,LeastSqs-Prop,-2.368715312150594
64,0.03,2,9216,2,96-0,12,Bernoulli,LeastSqs-Num,1.5729675155973875
65,0.03,2,9216,2,96-0,13,Bernoulli,Graph-Aware,-2.9876355362307034
66,0.03,2,9216,2,96-0,13,Bernoulli,Diff-Means-Stnd,-0.6563668696003954
67,0.03,2,9216,2,96-0,13,Bernoulli,Diff-Means-Frac-0.75,-1.0467028945924164
68,0.03,2,9216,2,96-0,13,Bernoulli,LeastSqs-Prop,-2.1701703470105027
69,0.03,2,9216,2,96-0,13,Bernoulli,LeastSqs-Num,1.9106486177446345
70,0.03,2,9216,2,96-0,14,Bernoulli,Graph-Aware,0.19973211763450907
71,0.03,2,9216,2,96-0,14,Bernoulli,Diff-Means-Stnd,-0.6684824526861946
72,0.03,2,9216,2,96-0,14,Bernoulli,Diff-Means-Frac-0.75,-1.048071239151049
73,0.03,2,9216,2,96-0,14,Bernoulli,LeastSqs-Prop,-2.040621669109168
74,0.03,2,9216,2,96-0,14,Bernoulli,LeastSqs-Num,1.8944376347702645
75,0.03,2,9216,2,96-0,15,Bernoulli,Graph-Aware,-1.3581294193230022
76,0.03,2,9216,2,96-0,15,Bernoulli,Diff-Means-Stnd,-0.6764783848856435
77,0.03,2,9216,2,96-0,15,Bernoulli,Diff-Means-Frac-0.75,-1.0493496601715933
78,0.03,2,9216,2,96-0,15,Bernoulli,LeastSqs-Prop,-2.414270476769726
79,0.03,2,9216,2,96-0,15,Bernoulli,LeastSqs-Num,2.0447090480709504
80,0.03,2,9216,2,96-0,16,Bernoulli,Graph-Aware,0.2873367426388173
81,0.03,2,9216,2,96-0,16,Bernoulli,Diff-Means-Stnd,-0.6771533024347226
82,0.03,2,9216,2,96-0,16,Bernoulli,Diff-Means-Frac-0.75,-1.049802552037955
83,0.03,2,9216,2,96-0,16,Bernoulli,LeastSqs-Prop,-1.9977214692323806
84,0.03,2,9216,2,96-0,16,Bernoulli,LeastSqs-Num,2.565607988565909
85,0.03,2,9216,2,96-0,17,Bernoulli,Graph-Aware,0.3557893565819852
86,0.03,2,9216,2,96-0,17,Bernoulli,Diff-Means-Stnd,-0.674103271308442
87,0.03,2,9216,2,96-0,17,Bernoulli,Diff-Means-Frac-0.75,-1.049029626741059
88,0.03,2,9216,2,96-0,17,Bernoulli,LeastSqs-Prop,-1.114287982251707
89,0.03,2,9216,2,96-0,17,Bernoulli,LeastSqs-Num,1.8519536436248731
90,0.03,2,9216,2,96-0,18,Bernoulli,Graph-Aware,-1.9882741690765124
91,0.03,2,9216,2,96-0,18,Bernoulli,Diff-Means-Stnd,-0.6756133310537056
92,0.03,2,9216,2,96-0,18,Bernoulli,Diff-Means-Frac-0.75,-1.0483181858376314
93,0.03,2,9216,2,96-0,18,Bernoulli,LeastSqs-Prop,-2.638403575304596
94,0.03,2,9216,2,96-0,18,Bernoulli,LeastSqs-Num,1.847247949106083
95,0.03,2,9216,2,96-0,19,Bernoulli,Graph-Aware,3.515343435939724
96,0.03,2,9216,2,96-0,19,Bernoulli,Diff-Means-Stnd,-0.6805715260612758
97,0.03,2,9216,2,96-0,19,Bernoulli,Diff-Means-Frac-0.75,-1.0516587067091387
98,0.03,2,9216,2,96-0,19,Bernoulli,LeastSqs-Prop,-1.691868926920664
99,0.03,2,9216,2,96-0,19,Bernoulli,LeastSqs-Num,2.3705380526567876
100,0.03,2,9216,2,96-0,20,Bernoulli,Graph-Aware,-2.681604677476141
101,0.03,2,9216,2,96-0,20,Bernoulli,Diff-Means-Stnd,-0.6610340155357975
102,0.03,2,9216,2,96-0,20,Bernoulli,Diff-Means-Frac-0.75,-1.0485454085821042
103,0.03,2,9216,2,96-0,20,Bernoulli,LeastSqs-Prop,-2.8707685765855775
104,0.03,2,9216,2,96-0,20,Bernoulli,LeastSqs-Num,2.080692745531875
105,0.03,2,9216,2,96-0,21,Bernoulli,Graph-Aware,-0.9652423843000935
106,0.03,2,9216,2,96-0,21,Bernoulli,Diff-Means-Stnd,-0.6596833021347583
107,0.03,2,9216,2,96-0,21,Bernoulli,Diff-Means-Frac-0.75,-1.048678378417546
108,0.03,2,9216,2,96-0,21,Bernoulli,LeastSqs-Prop,-2.495067778769634
109,0.03,2,9216,2,96-0,21,Bernoulli,LeastSqs-Num,0.8130484982931027
110,0.03,2,9216,2,96-0,22,Bernoulli,Graph-Aware,-0.8885121069565661
111,0.03,2,9216,2,96-0,22,Bernoulli,Diff-Means-Stnd,-0.6708949235579829
112,0.03,2,9216,2,96-0,22,Bernoulli,Diff-Means-Frac-0.75,-1.0498775554509205
113,0.03,2,9216,2,96-0,22,Bernoulli,LeastSqs-Prop,-2.0274207748142667
114,0.03,2,9216,2,96-0,22,Bernoulli,LeastSqs-Num,1.742014115383726
115,0.03,2,9216,2,96-0,23,Bernoulli,Graph-Aware,-2.2668259051054775
116,0.03,2,9216,2,96-0,23,Bernoulli,Diff-Means-Stnd,-0.6836844450003355
117,0.03,2,9216,2,96-0,23,Bernoulli,Diff-Means-Frac-0.75,-1.0483289660761215
118,0.03,2,9216,2,96-0,23,Bernoulli,LeastSqs-Prop,-2.238639977563792
119,0.03,2,9216,2,96-0,23,Bernoulli,LeastSqs-Num,0.890028088546778
120,0.03,2,9216,2,96-0,24,Bernoulli,Graph-Aware,1.9628272041938475
121,0.03,2,9216,2,96-0,24,Bernoulli,Diff-Means-Stnd,-0.6804078682591688
122,0.03,2,9216,2,96-0,24,Bernoulli,Diff-Means-Frac-0.75,-1.0490989137549518
123,0.03,2,9216,2,96-0,24,Bernoulli,LeastSqs-Prop,-1.8455838262866795
124,0.03,2,9216,2,96-0,24,Bernoulli,LeastSqs-Num,2.6263548579901226
125,0.03,2,9216,2,96-0,25,Bernoulli,Graph-Aware,-0.3874189156893673
126,0.03,2,9216,2,96-0,25,Bernoulli,Diff-Means-Stnd,-0.6720907151326739
127,0.03,2,9216,2,96-0,25,Bernoulli,Diff-Means-Frac-0.75,-1.047421339735002
128,0.03,2,9216,2,96-0,25,Bernoulli,LeastSqs-Prop,-1.818251822602783
129,0.03,2,9216,2,96-0,25,Bernoulli,LeastSqs-Num,2.972108799698183
130,0.03,2,9216,2,96-0,26,Bernoulli,Graph-Aware,1.3073425063782742
131,0.03,2,9216,2,96-0,26,Bernoulli,Diff-Means-Stnd,-0.6902803571631885
132,0.03,2,9216,2,96-0,26,Bernoulli,Diff-Means-Frac-0.75,-1.0506418745732455
133,0.03,2,9216,2,96-0,26,Bernoulli,LeastSqs-Prop,-2.4066551547597284
134,0.03,2,9216,2,96-0,26,Bernoulli,LeastSqs-Num,1.4009096812371096
135,0.03,2,9216,2,96-0,27,Bernoulli,Graph-Aware,0.8760263738534146
