,Estimator,graph,rep,n,p,ratio,Bias
0,diff_means_frac,sw,0,256,0.5,2,-0.8880967920546311
1,diff_means,sw,0,256,0.5,2,-0.9571761702275242
2,SumIPS-Linear,sw,0,256,0.5,2,1.966465907515951
3,OLS,sw,0,256,0.5,2,-0.6988777118181403
4,Graph-Agnostic,sw,0,256,0.5,2,0.1282680833071912
5,diff_means_frac,sw,1,256,0.5,2,-0.8416706033523749
6,diff_means,sw,1,256,0.5,2,-0.9291624571033906
7,SumIPS-Linear,sw,1,256,0.5,2,-1.8737823412342816
8,OLS,sw,1,256,0.5,2,-0.2680878373301326
9,Graph-Agnostic,sw,1,256,0.5,2,-0.09635919393666041
10,diff_means_frac,sw,2,256,0.5,2,-0.6699997404662494
11,diff_means,sw,2,256,0.5,2,-0.9379821878034472
12,SumIPS-Linear,sw,2,256,0.5,2,-0.1754875850104172
13,OLS,sw,2,256,0.5,2,-0.39541205686280495
14,Graph-Agnostic,sw,2,256,0.5,2,0.006221093715605429
15,diff_means_frac,sw,3,256,0.5,2,-0.72363648130743
16,diff_means,sw,3,256,0.5,2,-0.894764472547301
17,SumIPS-Linear,sw,3,256,0.5,2,-1.5432263285284402
18,OLS,sw,3,256,0.5,2,-0.42131998339883936
19,Graph-Agnostic,sw,3,256,0.5,2,-0.07443770932716517
20,diff_means_frac,sw,4,256,0.5,2,-0.840695788959716
21,diff_means,sw,4,256,0.5,2,-0.792265412499028
22,SumIPS-Linear,sw,4,256,0.5,2,-1.4443804388614454
23,OLS,sw,4,256,0.5,2,-0.364866404331138
24,Graph-Agnostic,sw,4,256,0.5,2,-0.10618868174879507
25,diff_means_frac,sw,5,256,0.5,2,-0.807096191586565
26,diff_means,sw,5,256,0.5,2,-0.8314841533667807
27,SumIPS-Linear,sw,5,256,0.5,2,-0.46851738440276436
28,OLS,sw,5,256,0.5,2,-0.24513517455549633
29,Graph-Agnostic,sw,5,256,0.5,2,0.01101484812259064
30,diff_means_frac,sw,6,256,0.5,2,-0.9285518227550749
31,diff_means,sw,6,256,0.5,2,-0.8871802058992494
32,SumIPS-Linear,sw,6,256,0.5,2,-0.48555715082776174
33,OLS,sw,6,256,0.5,2,-0.54842671204097
34,Graph-Agnostic,sw,6,256,0.5,2,0.05620047117588685
35,diff_means_frac,sw,7,256,0.5,2,-0.6887852435990908
36,diff_means,sw,7,256,0.5,2,-0.825984810554377
37,SumIPS-Linear,sw,7,256,0.5,2,-1.052922600855441
38,OLS,sw,7,256,0.5,2,-0.3867665486626731
39,Graph-Agnostic,sw,7,256,0.5,2,-0.0441363544000345
40,diff_means_frac,sw,8,256,0.5,2,-0.6925858328751165
41,diff_means,sw,8,256,0.5,2,-0.7391359784509925
42,SumIPS-Linear,sw,8,256,0.5,2,-0.09155987499813603
43,OLS,sw,8,256,0.5,2,-0.4570723296380511
